TIME [s]	VITESSE [m/s]	NBR REYNOLDS
0,02	0,692854	26470,948602
0,04	0,694057	26517,105773
0,06	0,749692	28641,730851
0,08	0,482997	18453,628136
0,1	1,061878	40570,64571
0,12	1,413641	54008,759239
0,14	1,550984	59256,57462
0,16	0,409936	15662,017563
0,18	0,694068	26516,868284
0,2	0,378095	14445,369651
0,22	0,413996	15817,181597
0,24	0,622928	23799,265303
0,26	0,621576	23748,072689
0,28	0,402733	15386,708933
0,3	0,695855	26586,232049
0,32	0,358797	13708,156316
0,34	0,602457	23016,724951
0,36	0,234794	8970,474832
0,38	0,504187	19262,779443
0,4	0,691646	26424,768738
0,42	0,595464	22750,166383
0,44	0,746881	28535,313324
0,46	0,578355	22096,907444
0,48	0,79724	30460,391153
0,5	0,484731	18519,560868
0,52	0,411968	15739,850313
0,54	1,501141	57353,236749
0,56	1,123053	42908,19859
0,58	0,586263	22398,59494
0,6	0,627606	23978,225293
0,62	0,853988	32627,663796
0,64	0,666391	25460,002114
0,66	0,628943	24028,969194
0,68	0,731028	27929,974736
0,7	0,483867	18486,594782
0,72	0,561487	21451,857661
0,74	0,615495	23515,479756
0,76	0,594052	22696,539107
0,78	0,571813	21846,772771
0,8	0,539449	20610,161191
0,82	0,803016	30679,516135
0,84	0,57908	22124,462512
0,86	0,670764	25627,417667
0,88	0,390069	14903,073168
0,9	0,620226	23696,659505
0,92	0,645335	24656,30749
0,94	0,557754	21309,027567
0,96	0,906819	34645,309745
0,98	0,579801	22152,066295
1	0,579085	22124,368957
1,02	0,376979	14403,231631
1,04	0,850565	32496,183885
1,06	0,594048	22696,634418
1,08	0,781894	29873,211693
1,1	0,651163	24877,704803
1,12	0,478644	18287,558061
1,14	0,598968	22883,882751
1,16	0,280263	10707,808544
1,18	0,527694	20160,916915
1,2	0,610724	23332,969165
1,22	0,476032	18186,795451
1,24	0,691631	26425,094651
1,26	0,512412	19577,198729
1,28	0,428883	16385,856832
1,3	0,666402	25459,783814
1,32	0,717174	27400,209942
1,34	0,773302	29544,158708
1,36	0,62695	23952,542558
1,38	0,614938	23494,40289
1,4	0,727595	27798,37766
1,42	0,984983	37632,425674
1,44	0,538665	20580,704614
1,46	0,764588	29211,924624
1,48	0,796212	30419,827477
1,5	0,828135	31639,685938
1,52	0,894161	34163,598559
1,54	0,577647	22068,943119
1,56	0,984137	37599,892254
1,58	0,89043	34019,962752
1,6	0,660723	25243,201442
1,62	0,772758	29523,551831
1,64	0,382494	14613,44353
1,66	0,841656	32156,512212
1,68	0,430835	16460,081387
1,7	0,743495	28407,047785
1,72	0,579793	22152,23283
1,74	0,406865	15544,631174
1,76	0,315366	12049,198317
1,78	0,57763	22069,297605
1,8	1,024186	39130,654984
1,82	0,807264	30842,03475
1,84	0,565193	21593,806941
1,86	0,398743	15234,816009
1,88	0,585669	22376,648617
1,9	0,625064	23880,814913
1,92	0,61765	23598,143464
1,94	0,577771	22074,284262
1,96	0,623725	23829,616083
1,98	0,395586	15114,07161
2	0,818058	31255,229273
2,02	0,827722	31624,003044
2,04	0,90032	34398,138212
2,06	0,997718	38118,959351
2,08	0,913241	34891,382829
2,1	1,026236	39208,378343
2,12	0,784138	29958,460036
2,14	1,06662	40750,255911
2,16	1,080624	41286,465264
2,18	1,042393	39826,648239
2,2	1,196706	45720,477098
2,22	1,229779	46985,216958
2,24	1,182972	45197,258404
2,26	1,211997	46304,016745
2,28	1,390647	53131,845295
2,3	1,309484	50031,026253
2,32	1,365769	52181,050531
2,34	1,291493	49342,602985
2,36	1,382216	52808,818399
2,38	1,376438	52589,083253
2,4	1,43099	54671,577255
